R -14.27476 0.2319716 0.3534697 0.935446
R -14.17815 0.3262587 0.3883148 0.9215268
R -14.06991 0.4069393 0.4485343 0.8937656
R -13.95093 0.4707349 0.5135366 0.8580678
R -13.82585 0.5215265 0.5584648 0.8295283
R -13.69724 0.5625724 0.5898969 0.8074786
R -13.56747 0.5997848 0.6018107 0.7986388
R -13.43757 0.636544 0.6032037 0.7975872
R -13.30755 0.6728497 0.6045948 0.7965332
R -13.17691 0.7068804 0.6115229 0.7912268
R -13.04526 0.7367908 0.6238756 0.7815238
R -12.91261 0.7618572 0.6380921 0.76996
R -12.7787 0.7790123 0.6606531 0.7506913
R -12.64393 0.7867848 0.6864495 0.7271775
R -12.50893 0.7865505 0.70772 0.7064931
R -12.37414 0.779016 0.7265711 0.6870912
R -12.24 0.763735 0.7460539 0.6658856
_R 5.285275 3.726527 0.4313033 -0.902207
_R 5.285275 3.726527 0.4336639 -0.9010748
