 -4.02 0.9 0.003494645 -0.9999939
W -12.21866 -0.2564986 0.7138716 -0.7002766
W -12.27864 -0.2576522 0.7138716 -0.7002766
W -12.33863 -0.2588057 0.7138716 -0.7002766
W -12.39862 -0.2599592 0.7138716 -0.7002766
W -12.45861 -0.2611127 0.7138716 -0.7002766
W -12.5186 -0.2622663 0.7138716 -0.7002766
W -12.5786 -0.2627915 0.7101951 -0.7040049
W -12.6386 -0.2626885 0.7064993 -0.7077138
W -12.6986 -0.2622712 0.7046438 -0.7095612
W -12.75859 -0.261854 0.7046438 -0.7095612
W -12.81859 -0.2614368 0.7046438 -0.7095612
W -12.87859 -0.2610195 0.7046438 -0.7095612
W -12.93859 -0.2606023 0.7046438 -0.7095612
W -12.99859 -0.2601851 0.7046438 -0.7095612
W -13.05859 -0.2597678 0.7046438 -0.7095612
W -13.11859 -0.2593506 0.7046438 -0.7095612
W -13.17858 -0.2589334 0.7046438 -0.7095612
W -13.23858 -0.2585161 0.7046438 -0.7095612
W -13.29858 -0.2577848 0.7027839 -0.7114034
W -13.35856 -0.2563204 0.698425 -0.7156832
W -13.41851 -0.2539141 0.6927824 -0.7211467
W -13.47842 -0.2505664 0.6870971 -0.7265657
W -13.53827 -0.2462782 0.6813695 -0.7319396
W -13.59801 -0.2407375 0.6736676 -0.7390346
W -13.65762 -0.233947 0.6658921 -0.7460481
W -13.71704 -0.2255982 0.6560696 -0.7547004
W -13.7762 -0.2155938 0.6454683 -0.7637871
W -13.83498 -0.2035308 0.6320407 -0.7749352
W -13.89334 -0.1896277 0.6197909 -0.784767
W -13.95122 -0.1737971 0.6066942 -0.7949353
W -14.00853 -0.1560563 0.5934312 -0.8048847
W -14.06523 -0.136425 0.5800052 -0.8146129
W -14.12125 -0.1149247 0.5664191 -0.8241174
W -14.17664 -0.09186871 0.5548573 -0.8319455
W -14.23128 -0.06708414 0.5417212 -0.8405582
W -14.28507 -0.04050154 0.5277104 -0.8494243
W -14.338 -0.01224249 0.5143033 -0.8576083
W -14.38996 0.01775589 0.5000135 -0.8660176
W -14.44101 0.04928256 0.4871117 -0.8733397
W -14.49105 0.08239718 0.4733337 -0.8808832
W -14.54044 0.1164663 0.4648558 -0.8853864
W -14.58922 0.1513921 0.4571118 -0.8894092
W -14.63733 0.1872482 0.4485528 -0.8937563
W -14.68455 0.2242688 0.4376006 -0.8991694
W -14.73071 0.2625934 0.4250037 -0.9051917
W -14.77558 0.3024276 0.4099374 -0.9121137
W -14.81882 0.3440304 0.3915487 -0.9201574
W -14.86027 0.3874071 0.3721928 -0.9281554
W -14.89987 0.4324816 0.3526741 -0.9357462
W -14.93731 0.4793715 0.3305302 -0.9437954
W -14.97283 0.5277261 0.311522 -0.9502389
W -15.00638 0.5774671 0.292388 -0.9562998
W -15.03791 0.6285147 0.2731363 -0.9619753
W -15.06755 0.6806834 0.2554626 -0.9668189
W -15.09554 0.7337573 0.2402448 -0.9707124
W -15.12203 0.7875918 0.2266682 -0.973972
W -15.14701 0.8421451 0.2130477 -0.9770418
W -15.17045 0.8973745 0.1993854 -0.9799212
W -15.19206 0.953351 0.1831111 -0.9830922
W -15.2111 1.01025 0.1607602 -0.9869935
W -15.22713 1.068067 0.134869 -0.9908634
W -15.23992 1.126689 0.1071499 -0.9942429
W -15.24899 1.185998 0.07586708 -0.9971179
W -15.25402 1.245788 0.04189448 -0.9991221
W -15.25528 1.305775 0.01049085 -0.999945
W -15.25308 1.365734 0.01830574 0.9998325
W -15.24848 1.425558 0.03836862 0.9992636
_W -15.24848 1.425558 0.05144529 0.9986758
_W -15.24848 1.425558 0.05667362 0.9983928
_W -15.24848 1.425558 0.05754486 0.9983429
_W -15.24848 1.425558 0.05841605 0.9982923
_W -15.24848 1.425558 0.06102937 0.998136
_W -15.24848 1.425558 0.06190039 0.9980823
_W -15.24848 1.425558 0.06277137 0.998028
_W -15.24848 1.425558 0.06364228 0.9979728
_W -15.24848 1.425558 0.06364228 0.9979728
_W -15.24848 1.425558 0.06364228 0.9979728
_W -15.24848 1.425558 0.06364228 0.9979728
_W -15.24848 1.425558 0.06451315 0.9979169
_W -15.24848 1.425558 0.06451315 0.9979169
_W -15.24848 1.425558 0.06451315 0.9979169
_W -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
E -15.24848 1.425558 0.06451315 0.9979169
_E -15.24848 1.425558 0.06451315 0.9979169
_E -15.24848 1.425558 0.06451315 0.9979169
_E -15.24848 1.425558 0.06451315 0.9979169
_E -15.24848 1.425558 0.06538398 0.9978602
_E -15.24848 1.425558 0.06712547 0.9977446
_E -15.24848 1.425558 0.06973734 0.9975654
_E -15.24848 1.425558 0.07408938 0.9972516
_E -15.24848 1.425558 0.07844 0.9969189
