 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
 19.94 0.1 0.7253759 -0.6883529
W 8.124131 0.2207826 0.7021562 -0.7120229
W 8.064137 0.2216198 0.7021562 -0.7120229
W 8.004144 0.222457 0.7021562 -0.7120229
W 7.944149 0.2232942 0.7021562 -0.7120229
W 7.884155 0.2241314 0.7021562 -0.7120229
W 7.824161 0.2249686 0.7021562 -0.7120229
W 7.764167 0.2258057 0.7021562 -0.7120229
W 7.704173 0.2266429 0.7021562 -0.7120229
W 7.644178 0.2274801 0.7021562 -0.7120229
W 7.584184 0.2283173 0.7021562 -0.7120229
W 7.52419 0.2291545 0.7021562 -0.7120229
W 7.464196 0.2299917 0.7021562 -0.7120229
W 7.404202 0.2308289 0.7021562 -0.7120229
W 7.344207 0.2316661 0.7021562 -0.7120229
W 7.284213 0.2325033 0.7021562 -0.7120229
W 7.224219 0.2333405 0.7021562 -0.7120229
W 7.164225 0.2341777 0.7021562 -0.7120229
W 7.10423 0.2350149 0.7021562 -0.7120229
W 7.044236 0.235852 0.7021562 -0.7120229
W 6.984242 0.2366892 0.7021562 -0.7120229
W 6.924248 0.2375264 0.7021562 -0.7120229
W 6.864254 0.2383636 0.7021562 -0.7120229
W 6.804259 0.2392008 0.7021562 -0.7120229
W 6.744265 0.240038 0.7021562 -0.7120229
W 6.684271 0.2408752 0.7021562 -0.7120229
W 6.624277 0.2417124 0.7021562 -0.7120229
W 6.564282 0.2425496 0.7021562 -0.7120229
W 6.504288 0.2433868 0.7021562 -0.7120229
W 6.444294 0.244224 0.7021562 -0.7120229
W 6.3843 0.2450612 0.7021562 -0.7120229
W 6.324306 0.2458984 0.7021562 -0.7120229
W 6.264311 0.2467355 0.7021562 -0.7120229
W 6.204317 0.2475727 0.7021562 -0.7120229
W 6.144323 0.2484099 0.7021562 -0.7120229
W 6.084329 0.2492471 0.7021562 -0.7120229
W 6.024334 0.2500843 0.7021562 -0.7120229
W 5.96434 0.2509215 0.7021562 -0.7120229
W 5.904346 0.2517587 0.7021562 -0.7120229
W 5.844352 0.2525959 0.7021562 -0.7120229
W 5.784358 0.2534331 0.7021562 -0.7120229
W 5.724363 0.2542703 0.7021562 -0.7120229
W 5.664369 0.2551076 0.7021562 -0.7120229
W 5.604375 0.2559448 0.7021562 -0.7120229
W 5.544381 0.256782 0.7021562 -0.7120229
W 5.484386 0.2576192 0.7021562 -0.7120229
W 5.424392 0.2584564 0.7021562 -0.7120229
W 5.364398 0.2592936 0.7021562 -0.7120229
W 5.304404 0.2601308 0.7021562 -0.7120229
W 5.24441 0.260968 0.7021562 -0.7120229
W 5.184415 0.2618052 0.7021562 -0.7120229
W 5.124421 0.2626424 0.7021562 -0.7120229
W 5.064427 0.2634796 0.7021562 -0.7120229
W 5.004433 0.2643168 0.7021562 -0.7120229
W 4.944438 0.265154 0.7021562 -0.7120229
W 4.884444 0.2659912 0.7021562 -0.7120229
W 4.82445 0.2668284 0.7021562 -0.7120229
W 4.764456 0.2676657 0.7021562 -0.7120229
W 4.704462 0.2685029 0.7021562 -0.7120229
W 4.644467 0.2693401 0.7021562 -0.7120229
W 4.584473 0.2701773 0.7021562 -0.7120229
W 4.524479 0.2710145 0.7021562 -0.7120229
W 4.464485 0.2718517 0.7021562 -0.7120229
W 4.40449 0.2726889 0.7021562 -0.7120229
W 4.344496 0.2735261 0.7021562 -0.7120229
W 4.284502 0.2743633 0.7021562 -0.7120229
W 4.224508 0.2752005 0.7021562 -0.7120229
W 4.164514 0.2760377 0.7021562 -0.7120229
W 4.104519 0.2768749 0.7021562 -0.7120229
W 4.044525 0.2777121 0.7021562 -0.7120229
W 3.984531 0.2785493 0.7021562 -0.7120229
W 3.924537 0.2793866 0.7021562 -0.7120229
W 3.864542 0.2802238 0.7021562 -0.7120229
W 3.804548 0.281061 0.7021562 -0.7120229
W 3.744554 0.2818982 0.7021562 -0.7120229
W 3.68456 0.2827354 0.7021562 -0.7120229
W 3.624566 0.2835726 0.7021562 -0.7120229
W 3.564571 0.2844098 0.7021562 -0.7120229
W 3.504577 0.285247 0.7021562 -0.7120229
W 3.444583 0.2860842 0.7021562 -0.7120229
W 3.384589 0.2869214 0.7021562 -0.7120229
W 3.324594 0.2877586 0.7021562 -0.7120229
W 3.2646 0.2885958 0.7021562 -0.7120229
W 3.204606 0.289433 0.7021562 -0.7120229
W 3.144612 0.2902702 0.7021562 -0.7120229
W 3.084618 0.2911074 0.7021562 -0.7120229
W 3.024623 0.2919447 0.7021562 -0.7120229
W 2.964629 0.2927819 0.7021562 -0.7120229
W 2.904635 0.2936191 0.7021562 -0.7120229
W 2.844641 0.2944563 0.7021562 -0.7120229
W 2.784647 0.2952935 0.7021562 -0.7120229
W 2.724652 0.2961307 0.7021562 -0.7120229
W 2.664658 0.2969679 0.7021562 -0.7120229
W 2.604664 0.2978051 0.7021562 -0.7120229
W 2.54467 0.2986423 0.7021562 -0.7120229
W 2.484675 0.2994795 0.7021562 -0.7120229
W 2.424681 0.3003167 0.7021562 -0.7120229
W 2.364687 0.3011539 0.7021562 -0.7120229
W 2.304693 0.3019911 0.7021562 -0.7120229
W 2.244699 0.3028283 0.7021562 -0.7120229
W 2.184704 0.3036655 0.7021562 -0.7120229
W 2.12471 0.3045028 0.7021562 -0.7120229
W 2.064716 0.30534 0.7021562 -0.7120229
W 2.004722 0.3061772 0.7021562 -0.7120229
W 1.944728 0.3070144 0.7021562 -0.7120229
W 1.884733 0.3078516 0.7021562 -0.7120229
W 1.824739 0.3086888 0.7021562 -0.7120229
W 1.764745 0.309526 0.7021562 -0.7120229
W 1.704751 0.3103632 0.7021562 -0.7120229
W 1.644757 0.3112004 0.7021562 -0.7120229
W 1.584763 0.3120376 0.7021562 -0.7120229
W 1.524769 0.3128748 0.7021562 -0.7120229
W 1.464775 0.313712 0.7021562 -0.7120229
W 1.404781 0.3145492 0.7021562 -0.7120229
W 1.344787 0.3153864 0.7021562 -0.7120229
W 1.284792 0.3162237 0.7021562 -0.7120229
W 1.224798 0.3170609 0.7021562 -0.7120229
W 1.164804 0.3178981 0.7021562 -0.7120229
W 1.10481 0.3187353 0.7021562 -0.7120229
W 1.044816 0.3195725 0.7021562 -0.7120229
W 0.9848219 0.3204097 0.7021562 -0.7120229
W 0.9248277 0.3212469 0.7021562 -0.7120229
W 0.8648335 0.3220841 0.7021562 -0.7120229
W 0.8048394 0.3229213 0.7021562 -0.7120229
W 0.7448452 0.3237585 0.7021562 -0.7120229
W 0.6848511 0.3245957 0.7021562 -0.7120229
W 0.6248569 0.3254329 0.7021562 -0.7120229
W 0.5648627 0.3262701 0.7021562 -0.7120229
W 0.5048686 0.3271073 0.7021562 -0.7120229
W 0.4448744 0.3279445 0.7021562 -0.7120229
W 0.3848802 0.3287818 0.7021562 -0.7120229
W 0.3248861 0.329619 0.7021562 -0.7120229
W 0.2648919 0.3304562 0.7021562 -0.7120229
W 0.2048978 0.3312934 0.7021562 -0.7120229
W 0.1449036 0.3321306 0.7021562 -0.7120229
W 0.08490944 0.3329678 0.7021562 -0.7120229
W 0.02491857 0.3340144 0.7009125 -0.7132472
W -0.035066 0.3353751 0.6990428 -0.7150798
W -0.09504262 0.3370498 0.6971683 -0.7169076
W -0.1549943 0.3394572 0.6927761 -0.7211528
W -0.2149121 0.3425968 0.6883578 -0.7253714
W -0.2748244 0.345841 0.6877246 -0.7259717
W -0.3347308 0.3491897 0.6870908 -0.7265716
W -0.3946373 0.3525385 0.6870908 -0.7265716
W -0.4545438 0.3558872 0.6870908 -0.7265716
W -0.5144503 0.3592359 0.6870908 -0.7265716
W -0.5743567 0.3625847 0.6870908 -0.7265716
W -0.6342632 0.3659334 0.6870908 -0.7265716
W -0.6941697 0.3692822 0.6870908 -0.7265716
W -0.7540762 0.3726309 0.6870908 -0.7265716
W -0.8139827 0.3759796 0.6870908 -0.7265716
W -0.8738891 0.3793284 0.6870908 -0.7265716
W -0.9337956 0.3826771 0.6870908 -0.7265716
W -0.9937021 0.3860258 0.6870908 -0.7265716
W -1.053609 0.3893746 0.6870908 -0.7265716
W -1.113515 0.3927233 0.6870908 -0.7265716
W -1.173422 0.3960721 0.6870908 -0.7265716
W -1.233328 0.3994208 0.6870908 -0.7265716
W -1.293234 0.4027695 0.6870908 -0.7265716
W -1.353141 0.4061183 0.6870908 -0.7265716
W -1.413047 0.409467 0.6870908 -0.7265716
W -1.472954 0.4128157 0.6870908 -0.7265716
W -1.53286 0.4161645 0.6870908 -0.7265716
W -1.592761 0.4196178 0.6864566 -0.7271708
W -1.652649 0.4232801 0.6851864 -0.7283678
W -1.712503 0.4274649 0.6820018 -0.7313505
W -1.77231 0.4322763 0.6781632 -0.7349113
W -1.832072 0.4376094 0.6749501 -0.7378634
W -1.891786 0.4434638 0.671724 -0.7408015
W -1.951457 0.449735 0.669134 -0.7431418
W -2.011118 0.4561103 0.6684851 -0.7437255
W -2.070778 0.4624856 0.6684851 -0.7437255
W -2.130439 0.4688609 0.6684851 -0.7437255
W -2.190099 0.4752362 0.6684851 -0.7437255
W -2.249759 0.4816115 0.6684851 -0.7437255
W -2.30942 0.4879868 0.6684851 -0.7437255
W -2.36908 0.4943621 0.6684851 -0.7437255
W -2.428741 0.5007375 0.6684851 -0.7437255
W -2.488401 0.5071128 0.6684851 -0.7437255
W -2.548062 0.5134881 0.6684851 -0.7437255
W -2.607722 0.5198634 0.6684851 -0.7437255
W -2.667348 0.526551 0.6665359 -0.745473
W -2.726901 0.5338627 0.6626233 -0.7489528
W -2.78636 0.5419013 0.6580358 -0.7529866
W -2.845747 0.5504585 0.6547443 -0.7558505
W -2.905025 0.5597405 0.650115 -0.7598359
W -2.964184 0.5697461 0.6454614 -0.7637929
W -3.023122 0.5809883 0.6374278 -0.7705101
W -3.08156 0.5945868 0.6218355 -0.7831479
W -3.139462 0.6103175 0.6073803 -0.7944112
W -3.19684 0.6278591 0.5948275 -0.8038534
W -3.253706 0.646996 0.5835459 -0.8120802
W -3.30998 0.6678115 0.5714348 -0.8206475
W -3.365651 0.6901901 0.5599214 -0.8285457
W -3.420591 0.7143063 0.5468379 -0.8372386
W -3.474746 0.7401363 0.53362 -0.8457243
W -3.527821 0.7681187 0.516539 -0.8562638
W -3.579678 0.7982993 0.4984933 -0.8668936
W -3.629884 0.8311524 0.4756297 -0.8796456
W -3.678302 0.8665882 0.4524404 -0.8917947
W -3.7246 0.9047523 0.4265744 -0.9044525
W -3.767906 0.9462804 0.392343 -0.919819
W -3.808903 0.9900895 0.3673192 -0.930095
W -3.847069 1.036386 0.3379233 -0.9411737
W -3.882252 1.084988 0.3081931 -0.9513238
W -3.913781 1.136037 0.2731262 -0.9619783
W -3.942227 1.188865 0.244468 -0.9696574
W -3.966536 1.24372 0.207065 -0.9783272
W -3.986861 1.300172 0.1719364 -0.9851081
W -4.003602 1.35779 0.1409085 -0.9900227
W -4.016997 1.416275 0.1123435 -0.9936695
W -4.02752 1.475345 0.0880325 -0.9961176
W -4.036093 1.517374 0.07411654 -0.9972496
W -4.042395 1.517989 0.06105715 -0.9981343
W -4.047655 1.518623 0.05234438 -0.9986291
_W -4.047655 1.518623 0.04624306 -0.9989302
_W -4.047655 1.518623 0.04537136 -0.9989702
_W -4.047655 1.518623 0.04537136 -0.9989702
_W -4.047655 1.518623 0.04537136 -0.9989702
_W -4.047655 1.518623 0.04624306 -0.9989302
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04798634 -0.998848
_W -4.047655 1.518623 0.04711472 -0.9988895
_W -4.047655 1.518623 0.04537112 -0.9989702
_W -4.047655 1.518623 0.04188376 -0.9991225
_W -4.047655 1.518623 0.03752367 -0.9992958
_W -4.047655 1.518623 0.03490755 -0.9993905
_W -4.047655 1.518623 0.03141855 -0.9995064
_W -4.047655 1.518623 0.02967414 -0.9995596
_W -4.047655 1.518623 0.0288019 -0.9995852
_W -4.047655 1.518623 0.0279294 -0.9996099
E -4.047655 1.518623 0.0279294 -0.9996099
E -4.047655 1.518623 0.0279294 -0.9996099
E -4.047655 1.518623 0.02705712 -0.9996339
E -4.047655 1.518623 0.02618458 -0.9996572
E -4.047655 1.518623 0.02618458 -0.9996572
E -4.047655 1.518623 0.02618458 -0.9996572
E -4.047655 1.518623 0.02531226 -0.9996796
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
E -4.047655 1.518623 0.02443991 -0.9997013
